round,cond,label,epoch,etime_s,phys_fp,t100_ds,malloc_ds,sys_inuse,rust_live,threads_seen,tokio_started,tokio_stopped,cpu_s,nthreads,load1
1,A,idle5,1790163695,298,322979472,267862016,30769152,18482416,185610195,4863,26,4,54.63,50,89.55
1,B,idle5,1790163695,298,346444456,296697856,32243712,18380448,178877003,4850,25,5,53.44,47,89.55
1,C,idle5,1790163696,299,271238680,98304,245841920,211806896,182074198,4852,24,2,54.85,49,89.55
1,D,idle5,1790163696,298,334841536,277938176,31490048,19939104,182022970,4862,25,0,55.45,52,89.55
1,E,idle5,1790163697,299,270059008,98304,244367360,210590656,180599712,4905,23,0,55,50,89.55
1,A,idle10,1790164036,639,293258896,243908608,30539776,18466112,147054720,5083,32,10,136.83,47,89.28
1,B,idle10,1790164037,640,311726760,261636096,30064640,19370736,147597994,5139,30,9,128.13,47,89.28
1,C,idle10,1790164037,640,219629080,98304,200392704,173351520,147815307,5122,33,12,129.48,47,89.28
1,D,idle10,1790164037,639,317998808,264650752,31621120,21218880,147642483,5359,25,0,136.17,50,89.28
1,E,idle10,1790164037,639,240403992,98304,223199232,198085712,171710330,5014,23,0,131.4,50,89.28
1,A,post-rescan,1790164717,1320,284542656,231063552,31113216,18439536,133267942,5101,36,13,386.74,48,75.82
1,B,post-rescan,1790164718,1321,324637328,268713984,30605312,19181920,133239386,5166,32,12,379.51,45,75.82
1,C,post-rescan,1790164718,1321,253822608,98304,231424000,157044912,132710708,5185,33,14,379.68,45,75.82
1,D,post-rescan,1790164719,1321,302040864,245891072,32309248,21328704,132312676,5529,25,0,384.2,51,75.82
1,E,post-rescan,1790164719,1321,256132704,98304,233390080,159284848,132540526,5133,23,0,386.52,49,75.82
1,A,burst1,1790164980,1583,964824016,896532480,32014336,19326592,815094053,7183,41,21,472.95,65,28.41
1,B,burst1,1790164980,1583,1007800904,937476096,32342016,20418768,744525914,7235,37,17,463.51,66,28.41
1,C,burst1,1790164981,1584,823019656,98304,787595264,618214288,658042064,7321,39,18,471.96,64,28.41
1,D,burst1,1790164981,1583,1159105752,886210560,34488320,22672976,814776443,7590,25,0,470.53,71,28.41
1,E,burst1,1790164981,1583,955844816,98304,919453696,785748944,814469147,6956,23,0,473.4,69,28.41
1,A,burst2,1790165151,1754,2208288680,1366048768,48627712,21029728,1474794439,7380,46,23,549,67,74.24
1,B,burst2,1790165152,1755,1411454136,1062600704,49037312,22067472,1149586460,7615,40,17,528.89,67,74.24
1,C,burst2,1790165152,1755,939461200,98304,1214382080,1540497024,1643301538,7681,43,20,535.26,68,74.24
1,D,burst2,1790165153,1755,1816235896,1533329408,49758208,23475824,1921295994,7933,25,0,533.42,72,74.24
1,E,burst2,1790165154,1756,1042860624,98304,1295220736,1647984272,1812311722,7109,24,0,526.27,69,74.24
1,A,burst3,1790165320,1923,1446793200,1357414400,49430528,21901152,1461858656,7484,55,27,558.78,73,309.00
1,B,burst3,1790165322,1924,1541477728,1453064192,49561600,22330640,1654380345,7723,52,22,538.89,76,309.00
1,C,burst3,1790165323,1926,960039360,98304,1041514496,1150526256,1042894620,7749,59,25,544.21,79,309.00
1,D,burst3,1790165326,1928,1359613864,1238269952,50364416,24188288,1533797684,8121,29,0,544.11,78,309.00
1,E,burst3,1790165328,1930,1020283232,98304,1014595584,1102673424,1057567071,7167,31,0,534.62,77,309.00
1,A,settled,1790165914,2517,895832024,793231360,52232192,24589776,542143129,15492,68,43,714.17,66,9.22
1,B,settled,1790165915,2518,947737616,858177536,52150272,24943056,551812981,10571,68,43,662.08,67,9.22
1,C,settled,1790165915,2518,724338992,98304,689700864,572106928,539684671,9790,68,45,661.54,65,9.22
1,D,settled,1790165915,2517,820629512,723697664,53116928,25850688,542048318,10583,29,0,684.19,72,9.22
1,E,settled,1790165915,2517,735955176,98304,695975936,578556672,541031394,13148,31,0,694.38,74,9.22
2,A,idle5,1790166208,273,355157888,257998848,52363264,18910064,121737695,25600,25,0,87.3,50,5.87
2,B,idle5,1790166208,273,565890240,498499584,54018048,19539344,122042405,25603,26,0,92.85,50,5.87
2,C,idle5,1790166208,273,202983248,98304,172081152,146725792,121949446,25604,25,0,89.23,50,5.87
2,D,idle5,1790166208,273,362579816,263700480,53297152,19855568,120109054,25605,25,0,97.51,50,5.87
2,E,idle5,1790166208,273,213157592,98304,169181184,145489248,120154325,25605,28,0,87.82,53,5.87
2,A,idle10,1790166539,604,325371776,257458176,44924928,18605968,128237363,25623,25,4,112.95,49,80.19
2,B,idle10,1790166540,605,379309248,312311808,42811392,18815984,128148506,25624,26,4,119.34,48,80.19
2,C,idle10,1790166540,605,197986176,98304,175751168,153112800,128160059,25625,25,3,115.69,48,80.19
2,D,idle10,1790166540,605,309593960,237518848,48545792,19970672,126394069,25625,25,0,122.48,51,80.19
2,E,idle10,1790166541,606,196904664,98304,173981696,153288368,126871885,25625,28,0,113.27,54,80.19
